,shortName,longName,logo_url
0,Microsoft Corporation,Microsoft Corporation,https://logo.clearbit.com/microsoft.com
0,Apple Inc.,Apple Inc.,https://logo.clearbit.com/apple.com
0,ProShares UltraPro Short Russel,ProShares UltraPro Short Russell2000,
0,General Electric Company,General Electric Company,https://logo.clearbit.com/ge.com
0,"Tesla, Inc.","Tesla, Inc.",https://logo.clearbit.com/tesla.com
0,ProShares UltraPro 3x Crude Oil,ProShares UltraPro 3x Crude Oil ETF,
0,UltraPro Short Dow30,ProShares UltraPro Short Dow30,
0,ProShares UltraPro Russell2000,ProShares UltraPro Russell2000,
0,Snowflake Inc.,Snowflake Inc.,https://logo.clearbit.com/snowflake.com
0,ProShares UltraPro QQQ,ProShares UltraPro QQQ,
0,ProShares UltraPro Short S&P500,ProShares UltraPro Short S&P500,
0,Ford Motor Company,Ford Motor Company,https://logo.clearbit.com/ford.com
0,ProShares UltraPro Dow30,ProShares UltraPro Dow30,
0,ProShares UltraPro Short Financ,ProShares UltraPro Short Financial Select Sector,
0,"Amazon.com, Inc.","Amazon.com, Inc.",https://logo.clearbit.com/amazon.com
0,ProShares UltraPro Short 20 Yea,ProShares UltraPro Short 20+ Year Treasury,
0,UltraPro MidCap400,ProShares UltraPro MidCap400,
0,ProShares UltraPro Short NASDAQ,ProShares UltraPro Short Nasdaq Biotechnology,
0,General Motors Company,General Motors Company,https://logo.clearbit.com/gm.com
0,ProShares UltraPro Short QQQ,ProShares UltraPro Short QQQ,
0,ProShares UltraPro Short Commun,ProShares UltraPro Short Communication Services Select Sector,
0,ProShares UltraPro S&P 500,ProShares UltraPro S&P500,
0,ProShares UltraPro Financial Se,ProShares UltraPro Financial Select Sector,
0,UltraPro Short MidCap400,ProShares UltraPro Short MidCap400,
0,Proshares UltraPro Nasdaq Biote,ProShares UltraPro Nasdaq Biotechnology,
0,ProShares UltraPro 3x Short Cru,ProShares UltraPro 3x Short Crude Oil ETF,
0,Oracle Corporation,Oracle Corporation,https://logo.clearbit.com/oracle.com
0,ProShares UltraPro Communicatio,ProShares UltraPro Communication Services Select Sector,
0,Adobe Inc.,Adobe Inc.,https://logo.clearbit.com/adobe.com
